42069,42186,42287,42388,42488,42573,43088,43588,44087,44586,45085,45584,46084,46583,47082,47565,48270,48958,49647,50335,51024,51712,52401,53089,53777,54450,55010,55555,56099,56644,57188,57733,58277,58822,59366,59895,60591,61270,61950,62629,63309,63988,64668,65348,66027,66691
42069,42174,42275,42376,42476,42573,43074,43571,44067,44564,45061,45557,46054,46551,47047,47540,48242,48940,49638,50335,51033,51731,52429,53127,53824,54518,55361,56201,57040,57879,58719,59558,60397,61236,62076,62911,63858,64802,65745,66688,67631,68575,69518,70461,71404,72344
42069,42167,42268,42369,42470,42573,42593,42616,42638,42661,42684,42706,42729,42752,42775,42800,42784,42771,42757,42744,42730,42717,42704,42690,42677,42666,42862,43061,43259,43458,43657,43855,44054,44252,44451,44652,45118,45586,46054,46523,46991,47459,47928,48396,48864,49335
42069,42153,42254,42355,42456,42573,42579,42602,42624,42647,42670,42692,42715,42738,42760,42800,42770,42756,42743,42730,42716,42703,42690,42676,42663,42666,42867,43085,43303,43520,43738,43956,44173,44391,44609,44843,45257,45687,46118,46548,46978,47409,47839,48270,48700,49148
35296,37166,39015,40865,42714,44543,45888,47212,48536,49860,51184,52508,53832,55156,56480,57784,59194,60583,61973,63363,64752,66142,67531,68921,70311,71680,72920,74140,75359,76579,77799,79018,80238,81458,82677,83876,84960,86024,87088,88152,89215,90279,91343,92406,93470,94514
35296,37151,39000,40850,42699,44543,45873,47197,48521,49845,51169,52493,53817,55141,56465,57784,59179,60568,61958,63348,64737,66127,67517,68906,70296,71680,73010,74334,75659,76983,78307,79632,80956,82280,83605,84924,86071,87213,88355,89498,90640,91782,92924,94066,95208,96345
35296,37130,38979,40828,42678,44543,45897,47267,48637,50006,51376,52746,54116,55485,56855,58241,59081,59937,60794,61650,62506,63362,64219,65075,65931,66804,67317,67846,68376,68906,69435,69965,70494,71024,71553,72099,72387,72691,72995,73299,73603,73907,74212,74516,74820,75140
35296,37141,38991,40840,42690,44543,45909,47279,48648,50018,51388,52758,54127,55497,56867,58241,59093,59949,60805,61662,62518,63374,64230,65087,65943,66804,66981,67163,67344,67526,67708,67889,68071,68253,68434,68620,68645,68674,68703,68732,68761,68791,68820,68849,68878,68911
4075,4064,4062,4059,4056,4061,4195,4338,4480,4622,4765,4907,5049,5192,5334,5484,5529,5581,5634,5686,5739,5791,5844,5896,5949,6009,6021,6040,6059,6079,6098,6117,6137,6156,6175,6203,6237,6279,6321,6362,6404,6446,6488,6530,6572,6622
4075,4060,4058,4055,4052,4061,4191,4334,4476,4618,4761,4903,5045,5188,5330,5484,5525,5577,5630,5682,5735,5787,5840,5892,5945,6009,6061,6125,6189,6253,6317,6381,6445,6509,6572,6648,6704,6771,6838,6906,6973,7040,7107,7175,7242,7321
4075,4089,4086,4083,4081,4061,4129,4181,4232,4284,4335,4387,4439,4490,4542,4576,4567,4541,4514,4488,4462,4435,4409,4383,4356,4313,4326,4323,4319,4316,4312,4308,4305,4301,4298,4277,4318,4342,4367,4391,4415,4439,4464,4488,4512,4520
